Sample,Site,Date,Bio_rep,Replicate 1,Replicate 2,Replicate 3,Region
PIL-20200925-1,PIL,9/25/2020,1,No Ct,No Ct,No Ct,Whatcom
PIL-20200925-2,PIL,9/25/2020,2,No Ct,No Ct,No Ct,Whatcom
PIL-20200925-3,PIL,9/25/2020,3,No Ct,No Ct,No Ct,Whatcom
PIL-20200925-4,PIL,9/25/2020,4,No Ct,No Ct,No Ct,Whatcom
PIL-20200925-5,PIL,9/25/2020,5,No Ct,No Ct,36.11,Whatcom
DAK-20200925-1,DAK,9/25/2020,1,No Ct,No Ct,No Ct,Whatcom
DAK-20200925-2,DAK,9/25/2020,2,No Ct,No Ct,No Ct,Whatcom
DAK-20200925-3,DAK,9/25/2020,3,No Ct,No Ct,37.73,Whatcom
DAK-20200925-4,DAK,9/25/2020,4,No Ct,No Ct,No Ct,Whatcom
DAK-20200925-5,DAK,9/25/2020,5,No Ct,No Ct,No Ct,Whatcom
CAC-20200925-1,CAC,9/25/2020,1,No Ct,No Ct,No Ct,Whatcom
CAC-20200925-2,CAC,9/25/2020,2,No Ct,37.05,No Ct,Whatcom
CAC-20200925-3,CAC,9/25/2020,3,No Ct,No Ct,No Ct,Whatcom
CAC-20200925-4,CAC,9/25/2020,4,No Ct,No Ct,No Ct,Whatcom
CAC-20200925-5,CAC,9/25/2020,5,No Ct,No Ct,No Ct,Whatcom
NON-20200925-1,NON,9/25/2020,1,No Ct,No Ct,No Ct,Whatcom
NON-20200925-2,NON,9/25/2020,2,No Ct,No Ct,No Ct,Whatcom
NON-20200925-3,NON,9/25/2020,3,No Ct,No Ct,No Ct,Whatcom
NON-20200925-4,NON,9/25/2020,4,No Ct,No Ct,No Ct,Whatcom
NON-20200925-5,NON,9/25/2020,5,No Ct,No Ct,No Ct,Whatcom
WLS-20200925-1,WLS,9/25/2020,1,No Ct,No Ct,No Ct,Whatcom
WLS-20200925-2,WLS,9/25/2020,2,No Ct,No Ct,No Ct,Whatcom
WLS-20200925-3,WLS,9/25/2020,3,No Ct,No Ct,No Ct,Whatcom
WLS-20200925-4,WLS,9/25/2020,4,No Ct,No Ct,No Ct,Whatcom
WLS-20200925-5,WLS,9/25/2020,5,No Ct,No Ct,36.28,Whatcom
OSH-20200926-1,OSH,9/26/2020,1,36.42,34.54,34.47,Washington_Coast
OSH-20200926-2,OSH,9/26/2020,2,34.33,No Ct,37.29,Washington_Coast
OSH-20200926-3,OSH,9/26/2020,3,No Ct,37.1,37.67,Washington_Coast
OSH-20200926-4,OSH,9/26/2020,4,36.25,34.16,33.64,Washington_Coast
OSH-20200926-5,OSH,9/26/2020,5,34.82,34.25,34.43,Washington_Coast
TKE-20200926-1,TKE,9/26/2020,1,36.15,35.59,No Ct,Washington_Coast
TKE-20200926-2,TKE,9/26/2020,2,36.25,36.23,34.45,Washington_Coast
TKE-20200926-3,TKE,9/26/2020,3,No Ct,No Ct,36.35,Washington_Coast
TKE-20200926-4,TKE,9/26/2020,4,35.45,35.23,34.66,Washington_Coast
TKE-20200926-5,TKE,9/26/2020,5,No Ct,No Ct,35.15,Washington_Coast
TKW-20200926-1,TKW,9/26/2020,1,33.75,33.24,33.69,Washington_Coast
TKW-20200926-2,TKW,9/26/2020,2,32.56,33.09,32.62,Washington_Coast
TKW-20200926-3,TKW,9/26/2020,3,32.56,33.42,32.49,Washington_Coast
TKW-20200926-4,TKW,9/26/2020,4,33.53,33.89,30.2,Washington_Coast
TKW-20200926-5,TKW,9/26/2020,5,33.83,33.82,33.53,Washington_Coast
JOR-20200926-1,JOR,9/26/2020,1,No Ct,No Ct,36.82,Washington_Coast
JOR-20200926-2,JOR,9/26/2020,2,No Ct,No Ct,No Ct,Washington_Coast
JOR-20200926-3,JOR,9/26/2020,3,No Ct,No Ct,No Ct,Washington_Coast
JOR-20200926-4,JOR,9/26/2020,4,No Ct,No Ct,No Ct,Washington_Coast
JOR-20200926-5,JOR,9/26/2020,5,No Ct,No Ct,No Ct,Washington_Coast
CHU-20200929-1,CHU,9/29/2020,1,No Ct,No Ct,No Ct,Whatcom
CHU-20200929-2,CHU,9/29/2020,2,No Ct,No Ct,No Ct,Whatcom
CHU-20200929-3,CHU,9/29/2020,3,No Ct,No Ct,No Ct,Whatcom
CHU-20200929-4,CHU,9/29/2020,4,No Ct,No Ct,No Ct,Whatcom
CHU-20200929-5,CHU,9/29/2020,5,No Ct,No Ct,No Ct,Whatcom
STA-20200929-1,STA,9/29/2020,1,No Ct,No Ct,No Ct,Washington_Coast
STA-20200929-2,STA,9/29/2020,2,No Ct,No Ct,No Ct,Washington_Coast
STA-20200929-3,STA,9/29/2020,3,No Ct,37.08,No Ct,Washington_Coast
STA-20200929-4,STA,9/29/2020,4,No Ct,No Ct,No Ct,Washington_Coast
STA-20200929-5,STA,9/29/2020,5,No Ct,No Ct,36.41,Washington_Coast
RAA-20201004-1,RAA,10/4/2020,1,No Ct,34.56,No Ct,South_Sound
RAA-20201004-2,RAA,10/4/2020,2,No Ct,36.76,No Ct,South_Sound
RAA-20201004-3,RAA,10/4/2020,3,No Ct,No Ct,No Ct,South_Sound
RAA-20201004-4,RAA,10/4/2020,4,No Ct,No Ct,No Ct,South_Sound
RAA-20201004-5,RAA,10/4/2020,5,36.81,No Ct,No Ct,South_Sound
KVI-20201004-1,KVI,10/4/2020,1,No Ct,No Ct,No Ct,South_Sound
KVI-20201004-2,KVI,10/4/2020,2,No Ct,No Ct,No Ct,South_Sound
KVI-20201004-3,KVI,10/4/2020,3,36.88,No Ct,No Ct,South_Sound
KVI-20201004-4,KVI,10/4/2020,4,No Ct,No Ct,No Ct,South_Sound
KVI-20201004-5,KVI,10/4/2020,5,No Ct,No Ct,No Ct,South_Sound
CCO-20201005-1,CCO,10/5/2020,1,No Ct,No Ct,No Ct,Central_Sound
CCO-20201005-2,CCO,10/5/2020,2,No Ct,No Ct,No Ct,Central_Sound
CCO-20201005-3,CCO,10/5/2020,3,No Ct,No Ct,No Ct,Central_Sound
CCO-20201005-4,CCO,10/5/2020,4,No Ct,No Ct,No Ct,Central_Sound
CCO-20201005-5,CCO,10/5/2020,5,No Ct,No Ct,No Ct,Central_Sound
JIM-20201005-1,JIM,10/5/2020,1,No Ct,No Ct,No Ct,Central_Sound
JIM-20201005-2,JIM,10/5/2020,2,No Ct,37.46,No Ct,Central_Sound
JIM-20201005-3,JIM,10/5/2020,3,No Ct,No Ct,No Ct,Central_Sound
JIM-20201005-4,JIM,10/5/2020,4,No Ct,No Ct,No Ct,Central_Sound
JIM-20201005-5,JIM,10/5/2020,5,No Ct,No Ct,No Ct,Central_Sound
IND-20201005-1,IND,10/5/2020,1,37.12,No Ct,No Ct,Central_Sound
IND-20201005-2,IND,10/5/2020,2,No Ct,No Ct,No Ct,Central_Sound
IND-20201005-3,IND,10/5/2020,3,No Ct,No Ct,No Ct,Central_Sound
IND-20201005-4,IND,10/5/2020,4,No Ct,No Ct,No Ct,Central_Sound
IND-20201005-5,IND,10/5/2020,5,No Ct,No Ct,No Ct,Central_Sound
DEL-20201014-1,DEL,10/14/2020,1,No Ct,No Ct,No Ct,Central_Sound
DEL-20201014-2,DEL,10/14/2020,2,No Ct,No Ct,No Ct,Central_Sound
DEL-20201014-3,DEL,10/14/2020,3,No Ct,No Ct,No Ct,Central_Sound
DEL-20201014-4,DEL,10/14/2020,4,No Ct,No Ct,No Ct,Central_Sound
DEL-20201014-5,DEL,10/14/2020,5,No Ct,No Ct,No Ct,Central_Sound
GSC-20201014-1,GSC,10/14/2020,1,No Ct,No Ct,No Ct,Central_Sound
GSC-20201014-2,GSC,10/14/2020,2,No Ct,No Ct,No Ct,Central_Sound
GSC-20201014-3,GSC,10/14/2020,3,No Ct,No Ct,No Ct,Central_Sound
GSC-20201014-4,GSC,10/14/2020,4,No Ct,No Ct,No Ct,Central_Sound
GSC-20201014-5,GSC,10/14/2020,5,No Ct,No Ct,No Ct,Central_Sound
DBL-20201014-1,DBL,10/14/2020,1,No Ct,No Ct,No Ct,Central_Sound
DBL-20201014-2,DBL,10/14/2020,2,No Ct,No Ct,No Ct,Central_Sound
DBL-20201014-3,DBL,10/14/2020,3,No Ct,No Ct,No Ct,Central_Sound
DBL-20201014-4,DBL,10/14/2020,4,No Ct,No Ct,No Ct,Central_Sound
DBL-20201014-5,DBL,10/14/2020,5,No Ct,No Ct,No Ct,Central_Sound
TIT-20201021-1,TIT,10/21/2020,1,No Ct,No Ct,No Ct,South_Sound
TIT-20201021-2,TIT,10/21/2020,2,No Ct,No Ct,No Ct,South_Sound
TIT-20201021-3,TIT,10/21/2020,3,No Ct,No Ct,No Ct,South_Sound
TIT-20201021-4,TIT,10/21/2020,4,No Ct,No Ct,No Ct,South_Sound
TIT-20201021-5,TIT,10/21/2020,5,No Ct,No Ct,No Ct,South_Sound
